id,功能模块名称,功能模块描述
D3-F2-4-1,大灯高度手动调节,手动调节近光灯高度，照明车辆前方道路
D3-F2-4-2,远光灯手动开启和关闭,照明车辆前方远距离道路的灯具
D3-F2-4-3,超车灯,间歇性点亮远光灯，提醒或警示前方车辆
D3-F2-4-4,自适应远光灯,根据道路环境情况自动开启或者关闭远光灯。远光灯自动开启后根据对向和同向车辆情况自动关闭部分远光灯光源，避免对对向或者同向车辆驾驶员造型眩目
D3-F2-4-5,大灯高度调节,调节近光灯高度，照明车辆前方道路
D3-F2-4-8,自动大灯,在光线较暗/较亮的环境下，允许近光灯自动点亮/熄灭
D3-F2-4-10,近光灯,照明车辆前方近距离道路
D3-F2-4-11,超车灯手动开启,超车灯手动开启
D3-F2-4-12,超车灯手动关闭,超车灯手动关闭
D3-F2-4-13,超车灯AVP开启,超车灯根据ADS请求开启
D3-F2-4-14,超车灯AVP关闭,超车灯根据ADS请求关闭
D3-F2-4-15,自适应远光灯功能开启,控制自适应远光灯功能开启
D3-F2-4-16,自适应远光灯功能关闭,控制自适应远光灯功能关闭
D3-F2-4-17,自适应远光灯点亮,根据外界条件自适应点亮远光灯
D3-F2-4-18,自适应远光灯熄灭,根据外界条件自适应熄灭远光灯
D3-F2-4-19,大灯高度手动调节,自动调节近光灯高度，照明车辆前方道路
D3-F2-4-24,近光灯手动开启,近光灯功能手动开启
D3-F2-4-25,近光灯手动关闭,近光灯功能手动关闭
D3-F2-4-26,近光灯功能优先级仲裁,多个近光灯功能触发时进行优先级排序，解冲突
D3-F2-5,外灯灯语,根据车辆解锁/闭锁等场景，外灯执行灯语效果
D3-F2-5-1,解锁灯语,解锁外灯执行灯语效果
D3-F2-5-2,闭锁灯语,闭锁外灯执行灯语效果
D3-F2-7,转向灯,用于向其他道路使用者表明车辆将向右或向左转向
D3-F2-7-1,转向灯手动开启,手动开启转向灯
D3-F2-7-2,转向灯手动关闭,手动关闭转向灯
D3-F2-7-3,转向灯自动开启,ADS等触发源自动开启转向灯
D3-F2-7-4,转向灯自动关闭,ADS等触发源自动关闭转向灯
D3-F2-7-5,变道灯手动开启,手动开启变道灯
D3-F2-7-6,变道灯手动关闭,手动关闭变道灯
D3-F2-8,危险报警灯,同时打开车辆上所有的转向信号灯，以向其他使用道路者表明，车辆暂时具有某种特殊危险
D3-F2-8-1,危险报警灯手动开启,手动开启危险报警灯
D3-F2-8-2,危险报警灯手动关闭,手动关闭危险报警灯
D3-F2-8-3,危险报警灯自动开启,碰撞、ADS等触发源自动开启危险报警灯
D3-F2-8-4,危险报警灯自动关闭,ADS等触发源自动关闭危险报警灯
D3-F2-8-5,紧急制动控制危险报警灯,紧急制动触发危险报警灯点亮和熄灭
D3-F2-8-6,追尾警告控制危险报警灯,追尾警告触发危险报警灯点亮和熄灭
D3-F2-11,后雾灯,在大雾情况下，从车辆后方观察，使得车辆更为易见的灯具
D3-F2-12,倒车灯,照明车辆后方道路和警告其他使用道路者，车辆正在或即将倒车的灯具
D3-F2-13,制动灯,制动灯用于通知后方的车辆驾驶员前车正在减速，以避免追尾。 当驾驶员制动时，根据行车制动的状态来决定何时点亮和熄灭制动灯， 车辆中的其他主动安全和车辆动态控制功能也可以激活刹车灯；高位制动灯用于通知后方的车辆驾驶员前车正在减速，以避免追尾
D3-F2-13-1,制动灯手动开启,通过踩刹车踏板等手动点亮制动灯
D3-F2-13-2,制动灯手动关闭,通过松刹车踏板等手动关闭制动灯
D3-F2-13-3,制动灯自动开启,自动制动、滑行能量回收等自动点亮制动灯
D3-F2-13-4,制动灯自动关闭,自动制动、滑行能量回收等自动关闭制动灯
D3-F2-16,安全照明灯,包含伴我回家功能以及车辆接近照明功能
D3-F2-16-1,伴我回家,前组合灯延时关闭，在钥匙拔出/整车退电时，前组合灯、后组合灯、后视镜集成照地灯额外点亮一段时间
D3-F2-17,LOGO灯,标徽（LOGO）作为位置灯的一部分或者作为迎送宾功能的一部分点亮关闭
D3-F2-17-1,前logo灯,前标徽（LOGO）作为位置灯的一部分或者作为迎送宾功能的一部分点亮关闭
D3-F2-19,ADS灯,指示ADS功能工作状态
D3-F3-1,内灯节电延时,整车下电后，启动节电计时器，提供一定时间的电源供应，计时结束后关闭电源，以节约蓄电池电量
D3-F3-2,顶灯,能通过开关或系统控制开启/关闭所有的阅读灯，
D3-F3-2-1,总开关控制,一键控制车内所有顶灯开启和关闭
D3-F3-2-2,独立开关控制,独立控制车内顶灯开启和关闭
D3-F3-2-3,顶灯本地亮度控制,通过长按开关控制顶灯亮度等级
D3-F3-2-4,顶灯语音控制,通过语音控制顶灯开启、关闭以及亮度调节
D3-F3-2-5,顶灯大屏软开关控制,通过大屏软开关控制顶灯开启、关闭以及亮度调节
D3-F3-2-6,顶灯开门控制,通过开关门动作控制顶灯亮起和熄灭
D3-F3-2-7,顶灯开门控制 - 顶灯开门功能开启,通过大屏软开关控制顶灯开门功能开启
D3-F3-2-8,顶灯开门功能关闭,通过大屏软开关控制顶灯开门功能关闭
D3-F3-2-9,顶灯开门点亮,通过开门动作控制顶灯亮起
D3-F3-2-10,顶灯关门熄灭,通过关门动作控制顶灯熄灭
D3-F3-2-11,碰撞点亮顶灯,碰撞触发顶灯点亮
D3-F3-2-12,顶灯追光点亮,识别人手动作指向感应开启对应方位顶灯
D3-F3-2-13,行李箱开启顶灯,是被行李箱开启状态联动开启后排顶灯
D3-F3-2-14,顶灯功能优先级仲裁,判断多个触发源优先级，根据仲裁规则响应唯一触发请求
D3-F3-3,门灯及门状态指示,门控灯包含一组由系统控制和工作的内饰灯，有助于出/入车辆和在特定时间提供普通照明。典型的开启门控灯是指：在开启车门或关闭点火开关时点亮
D3-F3-4,化妆镜灯,固定在遮阳板上、镜盒或顶棚上，提供化妆照明
D3-F3-4-1,化妆镜灯开启关闭,手动开启和关闭化妆镜灯
D3-F3-5,手套箱灯,该灯布置在手套箱内，便于寻找物品，如钥匙、硬币、笔等
D3-F3-6,扶手箱灯,固定在扶手箱上的照明灯（找钥匙、硬币、笔等物品时提供照明）
D3-F3-7,行李箱灯,该灯用于照明行李箱
D3-F3-8,机舱灯及机舱状态指示,该灯用于照明发动机舱
D3-F3-9,贯穿式储物箱灯,该灯用于照明贯穿式储物箱
D3-F3-10,门板照地灯,位于车门内侧底部，开启车门时，照地灯点亮，照亮脚下的路，光型可配备Logo效果，包含左右两侧
D3-F3-11,外后视镜照地灯,固定在外后视镜下放，用LOGO的形式照亮地面情况
D3-F3-12,照脚灯,脚部照明是布置在门护板、脚步空间、IP、座椅下面，用于照明入口、出口和其他操作控制
D3-F3-13,充电口照明灯,该灯用于照明车外充电口及充电口指示
D3-F3-16,档位照明灯,档位照明灯照明乘客之间的区域，增强操作控制面板和多种装置的亮度
D3-F3-17,内门把手照明灯,为门内把手提供连续的照明，有助于在天暗情况下打开车门
D3-F3-18,盲区指示灯&门开警示灯,在动态转向或静态开门时提醒车内人员后方有障碍物靠近，需注意
D3-F3-19,门储物盒照明,该灯布置在储物盒内，便于寻找物品，如钥匙、硬币、笔等
D3-F3-21,开关背光灯照明,用于指示车内开关位置，便于操作
D3-F3-21-1,左侧开关背光灯照明,用于点亮车辆左侧所有开关背光
D3-F3-21-2,右侧开关背光灯照明,用于点亮车辆右侧所有开关背光
D3-F3-21-3,危险报警开关背光灯照明,用于点亮危险报警开关背光，不支持危险报警灯背光跟随灯光闪烁
D3-F3-22,氛围灯设置功能,包括：模式设置、开关设置、亮度设置、颜色设置
D3-F3-22-1,氛围灯动态主题,氛围灯动态效果，包括极光、篝火、晨曦、月影等动态主题
D3-F3-22-2,氛围灯静态主题,氛围灯静态效果，支持颜色和亮度调节
D3-F3-22-3,氛围灯音乐律动主题,氛围灯随车内音乐节奏实时变换律动效果
D3-F3-22-4,智能灯语:语音交互灯语,氛围灯语音交互灯语，包括唤醒、聆听、播报、通话和主动服务等
D3-F3-22-5,智能灯语:驾驶模式切换灯语,氛围灯驾驶模式切换灯语，包括节能、运动、舒适、运动+等
D3-F3-22-14,氛围灯亮度,氛围灯亮度调节及分区
D3-F3-22-15,氛围灯颜色,氛围灯颜色设置及分区，单色或多色
D3-F3-23,前备箱灯,前行李箱开启后，点亮照明前行李箱
D3-F4-1,前雨刮手动控制,通过开关手动控制雨刮进入高速、低速或点刮的工作模式，同时当主驾或副驾车门开启时雨刮进行降速
D3-F4-2,前雨刮自动控制,组合开关处于自动档位下，用户可通过大屏调节雨量灵敏度设置（低/中/高三档），同时前雨刮通过雨量传感器对外界雨量进行检测，自动控制前雨刮刮刷速度及间隙时间
D3-F4-3,前雨刮维修模式,通过大屏操作维修模式开关，使前雨刮自动停靠在服务位置，如不符合维修模式使用场景，维修模式开关会置灰并在用户点击时弹出相关提示。
D3-F4-4,前洗涤联动刮水,喷洒液体在风挡上时，雨刮同时自动工作
D3-F4-6,倒车摄像头清洗,当启动倒车摄像头洗涤开关时，倒车摄像头喷嘴进行喷水，完成对摄像头的清洗，由大屏软开关控制实现
D3-F4-8,后雨刮手动控制,用户可通过组合开关，手动控制后雨刮刮刷
D3-F4-9,前后雨刮联动,前雨刮处于刮刷状态，R档后后雨刮自动开启
D3-F4-10,后雨刮禁止功能,尾门开启后，禁止使用后雨刮
D3-F4-11,后雨刮维修模式,后雨刮自动停靠在服务位置，方便用户更换刮片
D3-F4-12,后洗涤联动刮水,用户操作组合开关后雨刮洗涤，后雨刮自动进行低速刮刷
D3-F5-1,后视镜自学习,下线或诊断仪对后视镜各软停点进行自学习
D3-F5-2,外后视镜调节,外后视镜水平和竖直方向的拨杆滚轮电动调节、语音电动调节电机保护。
D3-F5-2-1,手动滚轮调节,进入调节界面后，通过滚轮调节
D3-F5-2-2,语音调节,不进入调节界面，语音操控调节
D3-F5-2-3,外后视镜倒挡调节,通过倒挡调节入口，用滚轮对后视镜倒车下翻位置进行调节
D3-F5-3,外后视镜折叠,外后视镜的折叠和展开，包含开关、解设防控制、车速展开、ADS折叠展开、语音折叠展开。
D3-F5-3-1,大屏折叠展开,大屏开关控制后镜折叠展开
D3-F5-3-2,语音折叠展开,语音控制后镜折叠展开
D3-F5-3-3,解设防折叠展开,锁车折叠功能使能后，解设防后镜自动折叠展开
D3-F5-3-4,ADS折叠展开,ADS根据自身需求控制后镜折叠展开
D3-F5-3-5,超速自动展开,车速大于15km/h后镜强制展开
D3-F5-5,外后视镜加热&后挡玻璃除霜,软开关、语音外后视镜加热&后挡玻璃除霜。
D3-F5-5-1,大屏后镜&后档玻璃加热,大屏开关控制后镜与后档玻璃加热
D3-F5-5-2,语音后镜&后档玻璃加热,语音控制后视镜或后档玻璃加热
D3-F5-6,外后视镜记忆,进行行驶位置和倒车位置记忆和位置下发。
D3-F5-6-1,正常行驶位置记忆,"在调节界面完成手动调节且退出界面后或语音完成调节后，账户记忆后镜位置；
账户登录下发位置或迎宾开关开启后每次迎宾触发位置下发；"
D3-F5-6-2,外后视镜倒车位置记忆,倒挡入口进行后镜下翻位置调节退出后，ADS-HMI触发出行记忆下翻位置；
D3-F5-7,外后视镜倒挡下翻,若倒车下翻使能开启，进入R档，ADS-HMI下发下翻位置，进入非R档，ADS-HMI触发出行下发正常行驶位置，外后视镜自动根据档位切换转换位置。
D3-F6-1,座椅调节,NA
D3-F6-1-1,主驾座椅滑轨前后调节,本地按键控制座椅滑轨电机前后电动调节
D3-F6-1-2,主驾座椅靠背前后调节,本地按键控制座椅靠背电机前后电动调节
D3-F6-1-3,主驾座椅高度上下调节,本地按键控制座椅高度电机上下电动调节
D3-F6-1-20,副驾座椅本地调节,副驾座椅电动调节。
D3-F6-1-21,副驾座椅滑轨前后调节,本地按键控制座椅滑轨电机前后电动调节
D3-F6-1-22,副驾座椅靠背前后调节,本地按键控制座椅靠背电机前后电动调节
D3-F6-1-66,主驾座椅滑轨语音前后调节,语音控制座椅滑轨电机前后电动调节
D3-F6-1-67,主驾座椅靠背语音前后调节,语音控制座椅靠背电机前后电动调节
D3-F6-1-68,主驾座椅高度语音上下调节,语音控制座椅高度电机上下电动调节
D3-F6-2,座椅加热,NA
D3-F6-2-1,主驾座椅大屏加热,支持通过大屏控制主驾座椅加热。
D3-F6-2-2,主驾座椅语音加热,支持通过语音控制主驾座椅加热。
D3-F6-2-3,主驾座椅远程加热,支持通过远程控制主驾座椅加热。
D3-F6-2-5,副驾座椅大屏加热,支持通过大屏控制副驾座椅加热。
D3-F6-2-6,副驾座椅语音加热,支持通过语音控制副驾座椅加热。
D3-F6-2-7,副驾座椅远程加热,支持通过远程控制副驾座椅加热。
D3-F6-3,座椅通风,NA
D3-F6-3-1,主驾座椅大屏通风,支持通过大屏控制主驾座椅通风。
D3-F6-3-2,主驾座椅语音通风,支持通过语音控制主驾座椅通风。
D3-F6-3-3,主驾座椅远程通风,支持通过远程控制主驾座椅通风。
D3-F6-3-5,副驾座椅大屏通风,支持通过大屏控制副驾座椅通风。
D3-F6-3-6,副驾座椅语音通风,支持通过语音控制副驾座椅通风。
D3-F6-3-7,副驾座椅远程通风,支持通过远程控制副驾座椅通风。
D3-F6-5,座椅记忆,NA
D3-F6-5-1,主驾座椅位置记忆,支持通过大屏记忆主驾座椅三组记忆位置，关联个人ID账号。
D3-F6-5-2,主驾座椅记忆位置调出,支持通过个人ID调出三组记忆位置；
D3-F6-6-13,主驾座椅迎宾,通过设置大屏上迎主驾宾礼让开关，实现用户关门时座椅回位的功能；
D3-F6-6-14,主驾座椅礼让,通过设置大屏上迎主驾宾礼让开关，实现用户开门时座椅礼让回退，方便用户上下车的功能；
D3-F6-7,座椅电机控制,NA
D3-F6-8,座椅防夹,座椅前后靠背上下腿托扶手整椅角度等方向调节时，遇到障碍物时，具有防夹功能，触发防夹回退。
D3-F6-9,座椅缓起缓停,电机在启动和停止时，通过驱动控制占空比变化调节电机，优化电机的调节体验
D3-F6-10,座椅电机热保护,对控制器持续驱动座椅电机运行做热保护逻辑
D3-F7-5,方向盘大屏加热,通过大屏开关控制方向盘加热。
D3-F7-6,方向盘语音加热,通过语音开关控制方向盘加热。
D3-F7-7,方向盘远程加热,通过APP远程控制方向盘加热。
D3-F8-1,车窗控制优先级仲裁判断,对不同输入源的车窗控制请求进行优先级仲裁判断
D3-F8-2,车窗行程及开度定义,基于车型标定相应的行程和开度，如：软停点、微升微降区间、调速区间、通风点
D3-F8-3,车窗调速功能,在确保车窗可完成正常升/降体验的情况下，通过调速来优化车窗全开/全关时的堵转撞击声音
D3-F8-4,车窗本地手动控制,通过物理开关控制车窗的手动升降（松掉按键后，车窗停止运动）
D3-F8-5,车窗本地一键控制,通过物理开关控制车窗的一键升降（松掉按键后，车窗继续保持同向运动）
D3-F8-6,车窗降窗软停点功能,车窗设置降窗软停点，自动降窗或者单次手动降窗仅能驱动车窗降至软停点位置，如果在软停点位置再次进行手动降窗，则车窗可以降低至硬止点
D3-F8-7,下雨自动关窗,当收到雨量传感器关窗请求时，自动关闭四门车窗，该功能默认生效
D3-F8-8,闭锁自动关窗,功能启用后，闭锁离车，四门车窗会自动升窗关闭
D3-F8-9,自动泊车关窗,车辆执行自动泊车时，四门车窗会自动升窗关闭，该功能默认生效
D3-F8-10,热失控自动降窗,车辆触发热失控后，四门车窗会自动降窗打开，该功能默认生效
D3-F8-11,碰撞自动降窗,车辆发生了触发安全气囊弹出的碰撞事件后，如果环境温度＞0℃，四门车窗会自动降窗打开一条50mm缝隙（如果车窗原始位置位于50mm以下则保持原位置不变），该功能默认生效
D3-F8-12,预碰撞自动升窗,当车辆即将发生碰撞时，控制四门车窗升窗（目标为升至50mm处）
D3-F8-16,车窗远程控制车窗全开,通过手机APP远程控制四门车窗自动打开
D3-F8-17,车窗远程控制车窗全关,通过手机APP远程控制四门车窗自动关闭
D3-F8-18,车窗远程控制车窗通风,通过手机APP远程控制四门车窗通风
D3-F8-19,车窗蓝牙控制车窗全开,通过蓝牙控制四门车窗自动打开
D3-F8-20,车窗蓝牙控制车窗全关,通过蓝牙控制四门车窗自动关闭
D3-F8-21,车窗蓝牙控制车窗通风,通过蓝牙控制四门车窗通风
D3-F8-22,车窗大屏控制车窗全开,通过大屏软开关控制四门车窗自动打开
D3-F8-23,车窗大屏控制车窗全关,通过大屏软开关控制四门车窗自动关闭
D3-F8-24,车窗大屏控制车窗通风,通过大屏软开关控制四门车窗通风
D3-F8-25,左后乘客车窗锁止,功能启用后，将禁止左后排乘客侧车窗本地物理开关控制车窗，主驾侧车窗本地物理开关依然可以控制左后车窗
D3-F8-26,右后乘客车窗锁止,功能启用后，将禁止右后排乘客侧车窗本地物理开关控制车窗，主驾侧车窗本地物理开关依然可以控制右后车窗
D3-F8-27,车窗电机热保护,车窗电机连续操作一段时间后，车窗进入热保护功能，在热保护功能下：禁止升窗动作，仅可执行降窗
D3-F8-28,车窗防夹功能,车窗可以通过车间学习、手动零点学习使车窗具备防夹功能，触发防夹后车窗进行防夹反转，多次触发防夹后车窗进入防夹抑制状态，需要通过重新学习后车窗重新具备防夹和一键升窗功能
D3-F8-29,车窗零点学习,用户通过车窗物理开关升降车窗完成零点学习，学习成功后会恢复车窗防夹功能和车窗自动升降功能
D3-F8-30,语音控制车窗,通过语音控制车窗自动升降
D3-F8-37,离车不下电自动关窗,当启动离车不下电功能并启用闭锁自动关窗时自动完成车窗升起
D3-F9-1,天窗遮阳帘前排物理开关控制,通过前排顶灯上的物理硬开关，控制前排天窗遮阳打开关闭停止
D3-F9-6,天窗遮阳帘大屏开关联动控制,通过中控大屏前后联动天窗遮阳帘软开关，控制前后天窗遮阳帘联动打开关闭停止
D3-F9-12,前天窗遮阳帘语音控制,通过语音指令，控制前天窗遮阳帘打开关闭停止
D3-F9-14,天窗遮阳帘语音联动控制,通过语音指令，控制天窗遮阳帘联动打开关闭停止
D3-F9-15,天窗遮阳帘远程控制,通过手机APP，控制天窗遮阳帘打开关闭
D3-F9-16,闭锁自动关闭,在大屏界面设置使能了“闭锁关闭天窗遮阳帘”后，用户通过闭锁操作，控制天窗遮阳帘关闭
D3-F9-17,天窗遮阳帘物理开关自学习,通过长按物理开关，可控制天窗遮阳帘进行自学习
D3-F9-18,天窗遮阳帘大屏软开关自学习,通过进入大屏维修界面，可点击天窗遮阳帘自学习软开关，控制天窗遮阳帘进行自学习
D3-F9-19,天窗遮阳帘电机热保护,一定时间内频繁操作天窗遮阳帘，会触发天窗遮阳帘进入热保护，遮阳帘会处于停止状态，不响应任何开关指令
D3-F9-20,天窗防夹功能,检测到防夹故障后，电机执行防夹反转
D3-F10-1,车身防盗,车辆应具有检测车门和前后备箱是否非法打开的能力，并在被非法打开后能够发出声光报警提示
D3-F10-1-1,锁车设防,用户通过锁车动作，使得车辆进入设防/半设防状态
D3-F10-1-2,解锁解防,用户通过解锁动作，使得车辆进入解防状态
D3-F10-1-3,防盗报警,在车辆处于设防/半设防状态，四门两盖被非法打开，进入报警状态并产生相关报警提示
D3-F10-1-4,解除报警,在车辆报警状态，用户锁车动作或报警超时解除报警状态，相关报警提示结束
D3-F10-2,远程防盗认证,在有远程车控指令时，TBOX检查与远控功能执行部件进行防盗认证，认证通过才允许执行对应指令
D3-F10-3,蓝牙防盗认证,在执行蓝牙车控指令或者PE找钥匙等流程时，BLE与VIU1进行防盗认证，认证通过后才能执行对应指令
D3-F10-3-1,蓝牙车控制指令触发认证,在执行蓝牙车控指令时，BLE与VIU1进行防盗认证
D3-F10-3-2,钥匙合法性触发认证,在执行找钥匙流程时，BLE与VIU1进行防盗认证
D3-F10-3-3,蓝牙防盗失败提醒,当蓝牙防盗某种原因认证失败，提示用户失败状态及原因
D3-F10-4,动力防盗认证,踩制动踏板或者RPA等其他控制指令请求动力时，触发VDC和其他部件动力防盗认证，认证通过后才允许动力输出；
D3-F10-4-1,人驾触发认证,踩制动踏板请求动力时，触发VDC和VIU动力防盗认证，认证通过后才允许动力输出；
D3-F10-4-2,智驾触发认证,智驾请求动力时，触发VDC和MDC动力防盗认证，认证通过后才允许动力输出；
D3-F10-4-3,远程启动触发认证,远程启动请求动力时，触发VDC和TBOX动力防盗认证，认证通过后才允许动力输出；
D3-F10-4-4,动力防盗失败提醒,当动力防盗某种原因认证失败，提示用户失败状态及原因
D3-F11-1,四门门锁控制,四门的门锁通过开关或者其它外设部件实现电动控制
D3-F11-1-1,中控解闭锁,用户通过操作主驾门侧的中控解闭锁开关实现整车解闭锁
D3-F11-1-2,大屏解闭锁,用户通过点击大屏上的中控解闭锁软开关实现整车解闭锁
D3-F11-1-3,机械钥匙解闭锁,用户可将物理机械钥匙插入主驾门锁孔，通过旋转机械钥匙，实现整车解闭锁
D3-F11-1-4,四门远程解闭锁,通过操作手机APP门锁按钮，若整车处于解锁状态，则T-BOX发送闭锁指令，iDVP控制四门/主驾门闭锁；通过操作手机APP门锁按钮，若整车处于闭锁状态，则T-BOX发送解锁指令，iDVP控制四门/主驾门解锁
D3-F11-1-5,蓝牙钥匙解闭锁,在BLE范围内，用户通过操作蓝牙钥匙，实现对整车的解闭锁控制
D3-F11-1-6,NFC钥匙解闭锁,在NFC PE读卡区刷NFC卡，若NFC钥匙认证通过，则整车根据当前锁状态，执行整车解锁或闭锁。
D3-F11-1-7,物理钥匙靠近解锁/远离闭锁,整车不处于Driving和RemoteDriving状态，用户携带合法物理钥匙靠近车辆，四门或主驾门执行解锁；一定条件下，携带物理钥匙远离车辆时，则执行四门闭锁
D3-F11-1-8,蓝牙钥匙靠近解锁/远离闭锁,整车不处于Driving和RemoteDriving状态，用户携带合法蓝牙钥匙靠近车辆，四门或主驾门执行解锁；整车不处于Driving和RemoteDriving状态，用户携带合法蓝牙钥匙远离车辆时，四门执行闭锁
D3-F11-1-9,碰撞解锁,车辆发生碰撞后，实现整车自动解锁
D3-F11-11,尾门门锁控制,包含本地开关、脚踢、远程、语音、靠近解锁等方式
D3-F11-11-1,本地解锁尾门,用户操作本地开关实现尾门解锁
D3-F11-11-2,本地吸合尾门,用户操作本地开关实现尾门吸合
D3-F11-11-3,大屏解锁尾门,用户操作大屏开关实现尾门解锁
D3-F11-11-4,大屏吸合尾门,用户操作大屏开关实现尾门吸合
D3-F11-11-5,遥控解锁尾门,用户操作遥控钥匙开关实现尾门解锁
D3-F11-11-6,遥控吸合尾门,用户操作遥控钥匙开关实现尾门吸合
D3-F11-11-7,远程解锁尾门,用户操作手机APP实现尾门解锁
D3-F11-11-8,远程吸合尾门,用户操作手机APP实现尾门吸合
D3-F11-11-9,蓝牙解锁尾门,用户操作蓝牙钥匙实现尾门解锁
D3-F11-11-10,蓝牙吸合尾门,用户操作蓝牙钥匙实现尾门吸合
D3-F11-12,电动尾门控制,通过操作控制尾门开启或关闭
D3-F11-12-1,本地控制尾门,用户操作本地开关实现尾门开启/关闭
D3-F11-12-2,尾门保护,尾门防夹、防玩等功能
D3-F11-12-3,大屏控制尾门,用户操作大屏开关实现尾门开启/关闭
D3-F11-12-4,遥控控制尾门,用户操作遥控钥匙开关实现尾门开启/关闭
D3-F11-12-5,远程控制尾门,用户操作手机APP实现尾门开启/关闭
D3-F11-12-6,蓝牙控制尾门,用户操作蓝牙钥匙实现尾门开启/关闭
D3-F11-13,前舱盖控制,前舱盖的开启/关关控制及前舱盖状态显示及提醒
D3-F11-13-1,大屏软开关解锁前舱盖,通过大屏软开关控制前舱盖电动解锁
D3-F11-13-2,语音解锁前舱盖,通过语音控制前舱盖电动解锁
D3-F11-13-3,实体钥匙解锁前舱盖,通过实体钥匙控制前舱盖电动解锁
D3-F11-13-4,蓝牙解锁前舱盖,近程通过APP控制前舱盖电动解锁
D3-F11-13-5,远控解锁前舱盖,远程通过APP控制前舱盖电动解锁
D3-F11-13-6,弹性波解锁前舱盖,通过弹性波敲击解锁前舱盖
D3-F11-13-7,前舱盖电动吸合,放下前舱盖至半锁，前舱盖自动吸合
D3-F11-13-9,前舱盖状态显示,提供前舱盖开启/关闭状态显示（车模和软开关）
D3-F11-13-10,前舱盖未关报警,P档未关准备行驶过程中，进行前舱盖未关提示，且限制挂档
D3-F11-14,充电口盖控制,充电口盖的开启/关闭控制及充电口盖的状态显示及提醒
D3-F11-14-2,中控软开关开启（解锁）,充电口盖在关闭位置，驾驶员在驾驶舱内，可以通过大屏软开关开启
D3-F11-14-3,语音控制开启（解锁）,充电口盖在关闭位置，驾驶员在驾驶舱内，可以通过语音使其开启
D3-F11-14-4,手机APP蓝牙开启（解锁）,充电口盖在关闭位置，近程可以通过手机APP指令开启（蓝牙）
D3-F11-14-5,手机APP远控开启（解锁）,充电口盖在关闭位置，远程可以通过手机APP指令开启（Tbox）
D3-F11-14-19,状态显示,充电口盖大屏显示使用状态，同步车模及软开关
D3-F11-14-20,非P档未关提示,仪表提示充电口盖未关
D3-F11-14-25,充电口盖解锁,整车解锁时，充电口盖跟随解锁
D3-F11-14-26,充电口盖闭锁,整车闭锁时，充电口盖跟随闭锁
D3-F11-15,加油口盖控制,包含加油口盖的开启/关闭控制与加油口盖状态显示及提醒
D3-F11-15-1,加油口盖大屏解锁,提供加油口盖中控解锁控制
D3-F11-15-3,加油口盖闭锁,加油结束关盖后自动闭锁
D3-F11-15-21,状态显示,加油口盖大屏显示使用状态，同步车模及软开关
D3-F11-15-22,加油口盖未关提示,非P档下，提示加油口盖未关提示
D3-F13-1,仪表胎压显示,仪表显示当前胎压
D3-F13-2,大屏胎压显示,大屏显示当前胎压
D3-F13-3,APP胎压显示,手机APP显示当前胎压、胎温
D3-F13-4,胎压报警_胎压低,胎压过低场景下，仪表、大屏、APP进行报警
D3-F13-5,胎压报警_胎压高,胎压过高场景下，仪表、大屏、APP进行报警
D3-F13-6,胎压报警_胎温高,胎温过高场景下，仪表、大屏、APP进行报警
D3-F13-7,胎压报警_传感器丢失,胎压传感器丢失场景下，仪表、大屏、APP进行报警
D3-F13-8,胎压报警_传感器电量低,胎压传感器电量低场景下，仪表、大屏、APP进行报警
D3-F13-9,胎压报警_未学习,胎压未学习场景下，仪表、大屏、APP进行报警
D3-F13-14,胎压传感器数据写入,具备胎压传感器下线电检学习功能和胎压、胎温下线配置功能
D3-F14-1,常规低压上下电控制,常规场景下控制整车低压电源上下电
D3-F14-2,OTA升级上下电控制,OTA升级时控制整车低压电源上下电
D3-F14-3,智驾上下电控制,智驾场景下控制整车低压电源上下电
D3-F14-4,情景模式上下电控制,情景模式下控制整车低压电源上下电
D3-F14-5,车载电源口延时下电控制,"通过中控大屏或者车主APP对车载12V电源口及Type-C充电口进行延时下电控制
1、中控大屏控制：通过中控大屏控制车载电源口在整车闭锁后的延时下电
2、车主APP远程控制：通过车主APP远程控制车载电源口的上电及延时下电"""
D3-F14-6,诊断上下电控制,"1、通过诊断指令控制整车上下电
2.OBD口连接诊断设备，有诊断需求维持时需要维持整车处于上电状态；
3.远程诊断时能够响应控制整车上电，支持完成诊断业务"""
D3-F14-7,车辆模式管理,"用于整车生命周期的车辆管理, 反映整车不同的阶段状态. 
车辆模式管理的作用:
1.在整车各部件节点和功能间传递整车状态的基本信息；
2.减少除用户正常用车外的非必要电耗, 以保留电池吞吐量, 例如工厂库存和运输过程；
3.为特定的功能提供整车一致的模式管理, 例如展车模式等。"
D3-F14-7-1,工厂模式功能,部分功能在工厂阶段有特殊需求和特殊逻辑，提供工厂模式状态作为功能开发处于工厂的标志位；
D3-F14-7-2,展车模式功能,展厅中对于整车为了保证车辆安全及展示体验，结合使用使用场景设计对部分功能进行特殊限制和设计，并根据使用场景分为內展和外展
D3-F14-7-3,运输模式功能,运输过程中对于车辆功能部分影响运输和车辆安全的功能进行限制，以保证车辆能够顺利运输。
D3-F14-7-4,诊断仪模式切换,通过诊断仪可以进行模式互相切换
D3-F14-8,电源模式,用于描述整车电源模式
D3-F14-8-1,KL15供配电逻辑,KL15输出控制逻辑
